"Year", "Score", "Title",
1968,  23, "Greetings",
1970,  17, "Bloody Mama",
1970,  73, "Hi, Mom!",
1971,  40, "Born to Win",
1973,  98, "Mean Streets",
1973,  23, "Bang the Drum Slowly",
1974,  97, "The Godfather, Part II",
1976,  41, "The Last Tycoon",
1976,  99, "Taxi Driver",
1977,  47, "1900",
1977,  67, "New York, New York",
1978,  93, "The Deer Hunter",
1980,  97, "Raging Bull",
1981,  75, "True Confessions",
1983,  90, "The King of Comedy",
1984,  23, "Once Upon a Time in America",
1984,  60, "Falling in Love",
1985,  98, "Brazil",
1986,  65, "The Mission",
1987, 100, "Dear America: Letters Home From Vietnam",
1987,  80, "The Untouchables",
1987,  78, "Angel Heart",
1988,  96, "Midnight Run",
1989,  64, "Jacknife",
1989,  47, "We're No Angels",
2016,  ,NaN, "Dirty Grandpa"
